Player,Pos,Squad,Age,Touches,Touches in Def Pen,Touches in Def 1/3,Touches in Mid 1/3,Touches in Att 1/3,Att Pen,Live ball touches
Lucas Digne,DF,Aston Villa,31,58.5,3.72,20.7,17.5,20.7,1.07,58.5
Issa Diop,DF,Fulham,27,60.6,8.39,33.4,25.6,1.74,0.87,60.6
Axel Disasi,DF,Aston Villa,26,61.9,5.93,24.1,33,5.37,1.11,61.9
Axel Disasi,DF,Chelsea,26,80.8,4.25,27.5,43.8,10,0.5,80.8
Roman Dixon,DF,Everton,19,36,8,19,14,4,0,36
Nasser Djiga,DF,Wolves,21,82.9,2.86,24.3,55.7,2.86,0,82.9
Matt Doherty,DF,Wolves,32,65.6,5.38,26.2,32,8.12,1.11,65.6
Jeremy Doku,"FW,MF",Manchester City,22,61.1,0.24,2.74,13.9,46,9.58,61.1
Nicolás Domínguez,"MF,FW",Nottingham Forest,26,55.9,3.58,13.9,28.9,13.5,1.51,55.9
Patrick Dorgu,DF,Manchester Utd,19,64,1.7,16.5,21.9,26,3.4,64
Alfie Dorrington,DF,Tottenham Hotspur,19,80,0,55,25,0,0,80
Abdoulaye Doucouré,MF,Everton,31,40.7,1.12,7.89,18.9,14.5,2.28,40.7
Cheick Doucouré,MF,Crystal Palace,24,52.6,2.2,11.2,33,9,0.8,52.6
Flynn Downes,MF,Southampton,25,56,4.14,16.9,30.1,9.5,0.88,56
Tommy Doyle,MF,Wolves,22,85.7,4.07,23.7,47.8,14.8,0.74,85.7
Radu Drăgușin,DF,Tottenham Hotspur,22,69.1,10.6,36.7,30.9,2.16,0.86,69.1
Martin Dúbravka,GK,Newcastle United,35,35,26.2,33.7,1.4,0,0,35
Lewis Dunk,DF,Brighton,32,92.1,11.2,43,44.6,4.89,0.91,92.1
Jáder Durán,FW,Aston Villa,20,37,1.83,5.07,15.5,17.2,6.62,37
Claudio Echeverri,FW,Manchester City,18,30,0,0,20,10,0,30
Ederson,GK,Manchester City,30,37.8,26.7,37.3,0.5,0,0,37.8
George Edmundson,DF,Ipswich Town,26,3,1,3,0,0,0,3
Odsonne Édouard,"MF,FW",Crystal Palace,26,34.6,0.77,3.08,17.7,13.8,6.15,34.6
Odsonne Édouard,FW,Leicester City,26,66.7,3.33,6.67,23.3,36.7,20,66.7
Samuel Edozie,"DF,FW",Southampton,21,61.4,0,0,10,51.4,14.3,61.4
Ronnie Edwards,DF,Southampton,21,60,30,40,20,0,0,60
Anthony Elanga,"FW,MF",Nottingham Forest,22,40.1,1.04,4.89,11.5,24.4,3.96,40.1
Harvey Elliott,MF,Liverpool,21,82.7,1.22,7.8,40,35.1,5.12,82.7
Yunus Emre Konak,"FW,MF",Brentford,18,106,0,18,54,34,0,106
Julio Enciso,"MF,FW",Ipswich Town,20,41.9,0.52,5.36,20.8,17.2,2.37,41.9
Julio Enciso,"MF,FW",Brighton,20,61.2,0.61,5.15,21.8,35.2,6.06,61.2
Wataru Endo,"MF,DF",Liverpool,31,79,4,21.7,41.3,16.3,1,79
Christian Eriksen,MF,Manchester Utd,32,72,2.2,14.7,33.6,24.1,1.44,71.9
Romain Esse,MF,Crystal Palace,19,48.7,0.67,9.33,20,19.3,6,48.7
Pervis Estupiñán,DF,Brighton,26,71.7,3.33,18.5,35.1,19,1.31,71.7
Evanilson,FW,Bournemouth,24,21.6,0.89,2.17,8.06,11.6,4.92,21.6
Jake Evans,FW,Leicester City,15,16.7,0,3.33,10,3.33,0,16.7
Jonny Evans,DF,Manchester Utd,36,71.4,10.3,39.7,28.6,4.29,0.86,71.4
Eberechi Eze,"MF,FW",Crystal Palace,26,49.1,0.59,6.7,23,20.7,3.3,49
Łukasz Fabiański,GK,West Ham United,39,41.1,32.1,40.7,0.39,0,0,41.1
Wout Faes,DF,Leicester City,26,60.9,10.2,30.7,28.3,2.17,0.86,60.9
Abdul Fatawu Issahaku,FW,Leicester City,20,50.9,2.97,11.4,17.8,24.5,4.06,50.9
João Félix,"FW,MF",Chelsea,24,66.3,0.49,6.34,31.2,30.5,7.32,66.3
Evan Ferguson,FW,West Ham United,19,38.8,0.59,3.53,17.6,18.2,5.88,38.8
Evan Ferguson,FW,Brighton,19,32.6,2.59,4.81,18.5,9.63,3.33,32.6
Bruno Fernandes,MF,Manchester Utd,29,79.1,1.85,12.8,37.7,29.3,2.39,79
Mateus Fernandes,MF,Southampton,20,54.5,2.23,11.9,26.8,16.9,1.52,54.5
Enzo Fernández,MF,Chelsea,23,67.6,1.13,10.6,34.5,23,2.48,67.6
Mark Flekken,GK,Brentford,31,50.1,39.5,48.8,1.43,0,0,50.1
Phil Foden,"MF,FW",Manchester City,24,57.8,0.66,4.31,19.4,34.6,4.21,57.8
Wesley Fofana,DF,Chelsea,23,71.8,6.23,28.5,40.2,4.23,0.77,71.8
Carlos Forbs,"MF,FW",Wolves,20,44.8,1.11,8.52,14.4,22.2,4.81,44.8
Fraser Forster,GK,Tottenham Hotspur,36,32.6,30.3,32.6,0,0,0,32.6
Matheus França,"MF,FW",Crystal Palace,20,55,3.33,8.33,18.3,28.3,11.7,55
Ryan Fraser,"FW,DF",Southampton,30,38.5,3.53,13.2,14.7,10.9,0.88,38.5
Tyler Fredricson,DF,Manchester Utd,19,78.3,6.11,35.6,37.8,5,0.56,78.3
Niclas Füllkrug,FW,West Ham United,31,31.5,2.16,3.07,16.1,12.5,4.55,31.5
Cody Gakpo,FW,Liverpool,25,41.3,1.3,4.23,12,25.9,5.12,41.3
Idrissa Gana Gueye,MF,Everton,34,53,2.12,12.7,30.7,9.88,0.62,53
Andrés García,"DF,MF",Aston Villa,21,73.1,2.29,10.9,30.9,32,0.57,73.1
Alejandro Garnacho,"MF,FW",Manchester Utd,20,47.5,0.53,5.33,14.9,28,7.21,47.5
James Garner,"MF,DF",Everton,23,55.2,2.26,12.8,28.9,14,0.85,55.2
Tyrique George,FW,Chelsea,18,35,0.5,5.5,10.5,19.5,4.5,35
Morgan Gibbs-White,MF,Nottingham Forest,24,52.3,1.13,5.95,26.7,20.5,2.96,52.3
Billy Gilmour,MF,Brighton,23,66.4,1.82,12.7,41.8,11.8,0,66.4
Ben Godfrey,DF,Ipswich Town,26,37.8,3.33,14.4,18.3,5,0.56,37.8
Martial Godo,"FW,DF",Fulham,21,83.3,0,3.33,23.3,56.7,23.3,83.3
Michael Golding,MF,Leicester City,18,0,0,0,0,0,0,0
João Gomes,MF,Wolves,23,60.5,1.88,13.1,33.5,14.9,1.36,60.5
Rodrigo Gomes,"DF,FW",Wolves,21,46.3,2.67,11.2,15.7,20.2,3.22,46.3
Toti Gomes,DF,Wolves,25,69.9,7.48,32.5,34.5,3.72,0.59,69.9
Diego Gómez,MF,Brighton,21,70.7,3.68,15.3,37.2,19.1,1.75,70.7
Joe Gomez,DF,Liverpool,27,82.9,9.31,31.6,45.5,6.38,0.86,82.9
Nicolás González,MF,Manchester City,22,84.9,2.14,13.8,52.3,19.2,1.19,84.9
Anthony Gordon,"FW,MF",Newcastle United,23,46.9,0.59,4.63,17.6,25.4,4.74,46.9
Ryan Gravenberch,MF,Liverpool,22,66.8,3.33,14.5,38.6,14.6,0.74,66.8
Archie Gray,"DF,MF",Tottenham Hotspur,18,65.9,7.69,31.2,29.8,5.44,0.15,65.9
Jack Grealish,"FW,MF",Manchester City,28,65.1,1.88,5.25,20.3,40.5,8.88,65.1
Jacob Greaves,DF,Ipswich Town,23,57.3,11.3,30.4,23.2,3.88,0.9,57.3
Brajan Gruda,"MF,FW",Brighton,20,45.3,0.53,5,15.8,25.3,6.05,45.3
Albert Grønbaek,"FW,MF",Southampton,23,23.8,1.25,5.63,8.75,9.38,1.25,23.8
Gonçalo Guedes,"MF,FW",Wolves,27,43.6,0.54,4.41,17.9,22.5,3.6,43.6
Marc Guéhi,DF,Crystal Palace,24,62.7,9.15,30.9,27.7,4.35,1.15,62.7
Luis Guilherme,"MF,FW",West Ham United,18,58.2,1.76,11.2,23.5,24.1,2.94,58.2
Bruno Guimarães,MF,Newcastle United,26,61,2.29,12.3,31.2,18.2,2.34,61
Marc Guiu,FW,Chelsea,18,27.5,0,2.5,10,15,3.75,27.5
İlkay Gündoğan,MF,Manchester City,33,76.6,1.82,10.9,37.6,28.9,2.71,76.6
Malo Gusto,DF,Chelsea,21,77.1,3.09,18.7,37.3,21.8,2.08,77.1
Joško Gvardiol,DF,Manchester City,22,85.2,4.01,21,42.6,22.4,2.69,85.2
Erling Haaland,FW,Manchester City,24,21,0.72,1.32,7.3,12.6,6.25,20.9
Lewis Hall,DF,Newcastle United,19,74.9,3.91,25.6,33.1,17,1.93,74.9
Ali Al Hamadi,FW,Ipswich Town,22,35.3,1.33,4,13.3,20,6,35.3
Marcus Harness,MF,Ipswich Town,28,44,8,14,4,26,6,44
Jack Harrison,FW,Everton,27,41,1.56,6.8,14.5,20,2.99,41
Taylor Harwood-Bellis,DF,Southampton,22,78.8,10.8,36.9,36.5,5.8,1.34,78.8
Kai Havertz,"FW,MF",Arsenal,25,37.7,1.49,4.42,13.8,19.8,5.14,37.7
Ayden Heaven,DF,Manchester Utd,17,71.6,15.8,35.8,31.6,5.26,1.05,71.6
Jan Paul van Hecke,DF,Brighton,24,78.7,8.27,33.3,41,5.05,1,78.7
Hwang Hee-chan,"MF,FW",Wolves,28,37.1,1.37,5.75,14.4,17.3,3.29,37.1
Dean Henderson,GK,Crystal Palace,27,34.4,28,34.3,0.11,0.03,0.03,34.4
Rico Henry,DF,Brentford,27,60,5.45,20,26.4,14.5,0.91,60
Mads Hermansen,GK,Leicester City,24,43.3,31.4,41.7,1.62,0,0,43.3
Son Heung-min,FW,Tottenham Hotspur,32,48.5,0.68,4.91,15.5,28.5,5.21,48.4
James Hill,DF,Bournemouth,22,63.8,3.8,19.8,33.4,10.8,1.6,63.8
Jack Hinshelwood,"MF,DF",Brighton,19,58.5,2.44,15.7,27.3,15.8,1.71,58.5
George Hirst,FW,Ipswich Town,25,25.8,1.64,3.84,8.36,13.8,3.84,25.8
Mason Holgate,"FW,DF",Everton,27,30,0,0,20,10,0,30
Harry Howell,FW,Brighton,15,120,10,10,70,40,30,120
Callum Hudson-Odoi,"FW,MF",Nottingham Forest,23,42.4,0.66,4.8,13.9,24.8,3.03,42.4
Will Hughes,MF,Crystal Palace,29,51.4,2.05,12.6,26.3,13.2,0.73,51.4
Dean Huijsen,DF,Bournemouth,19,74.9,9.41,33.9,36,5.37,1.11,74.9
Omari Hutchinson,"MF,FW",Ipswich Town,20,43.9,0.59,6.97,18,19.8,3.21,43.9
Rasmus Højlund,FW,Manchester Utd,21,23.1,0.27,1.61,11.3,10.6,3.32,23.1
Igor,DF,Brighton,26,76.3,10.2,36,35.6,5.05,0.09,76.3
Danny Ings,"FW,MF",West Ham United,32,43.4,0.63,4.69,15.9,22.8,8.44,43.4
Tim Iroegbunam,MF,Everton,21,42,3.75,13.9,19.8,9.38,1.88,42
Andy Irving,MF,West Ham United,24,83.3,3.89,20.6,49.4,13.3,0,83.3
Alexander Isak,FW,Newcastle United,24,33.5,0.65,1.86,12.6,19.5,6.18,33.4
Alex Iwobi,"FW,MF",Fulham,28,56.2,1,7.37,22.6,27,3.5,56.2
Nicolas Jackson,FW,Chelsea,23,27.8,0.77,2.02,11.5,14.6,5.71,27.8
Reece James,"DF,MF",Chelsea,24,80.7,3.64,22.6,43.7,14.9,0.59,80.7
Vitaly Janelt,MF,Brentford,26,51.6,4.72,16.7,23,12.2,1.28,51.6
Vitezslav Jaros,GK,Liverpool,23,80,50,80,0,0,0,80
Daniel Jebbison,FW,Bournemouth,20,60,2.31,7.69,19.2,33.8,10.8,60
Mathias Jensen,MF,Brentford,28,59.7,2.81,13.1,25.3,21.6,0.94,59.7
Gabriel Jesus,FW,Arsenal,27,44,1.32,4.12,15.9,24.3,7.06,44
Raúl Jiménez,FW,Fulham,33,36.1,1.26,4.33,15.6,16.8,5.96,36
Kim Jisoo,DF,Brentford,19,100,3.33,50,40,10,0,100
João Pedro,"FW,MF",Brighton,22,43.5,0.56,2.78,17.9,23.5,5.65,43.3
Joelinton,"MF,FW",Newcastle United,27,51.1,2.52,9.62,25.2,16.8,3.12,51.1
Ben Johnson,"DF,FW",Ipswich Town,24,41.7,4,16.4,14.7,10.9,0.8,41.7
Brennan Johnson,FW,Tottenham Hotspur,23,35.2,0.74,4.05,12.1,19.6,5.17,35.2
Sam Johnstone,GK,Wolves,31,43.7,32.7,43.4,0.29,0,0,43.7
Curtis Jones,"MF,DF",Liverpool,23,67.8,2.16,11.6,35.9,20.7,3.05,67.8
Jorginho,MF,Arsenal,32,66.9,1.15,11.9,39,16.8,0.38,66.9
Diogo Jota,FW,Liverpool,27,36.5,0.45,2.63,14.9,19.5,7.29,36.5
James Justin,DF,Leicester City,26,60.1,4.66,21.4,27.2,11.9,1.17,60.1
Filip Jørgensen,GK,Chelsea,22,33.7,29,33.5,0.17,0,0,33.7
Ferdi Kadioglu,"DF,MF",Brighton,24,53.7,3.02,16.5,21.2,16.7,2.09,53.7
Daichi Kamada,MF,Crystal Palace,27,53.9,1.09,12,28.5,13.8,1.84,53.9
Boubacar Kamara,MF,Aston Villa,24,58,4.95,17.9,33.2,7.34,0.63,58
Joachim Kayi Sanda,DF,Southampton,17,95,5,40,50,5,5,95
Michael Kayode,DF,Brentford,20,53.1,3.9,17.1,20.5,16.4,2.2,53.1
Michael Keane,DF,Everton,31,43.8,9.06,25.2,16.9,1.88,1.45,43.8
Caoimhín Kelleher,GK,Liverpool,25,39.8,28.6,39.6,0.2,0,0,39.8
Lloyd Kelly,DF,Newcastle United,25,63.2,7.65,30.9,27.6,5.59,1.18,63.2
Milos Kerkez,DF,Bournemouth,20,58.2,3.02,14.9,24.3,19.7,1.86,58.2
Bilal El Khannouss,"MF,FW",Leicester City,20,52.4,0.74,7.56,27.1,18.4,1.45,52.4
Abdukodir Khusanov,DF,Manchester City,20,79.5,8.04,36.6,37.7,5.54,0.18,79.5
Max Kilman,DF,West Ham United,27,63.8,12.5,35.4,25.9,3.04,0.86,63.8
Joshua King,MF,Fulham,17,62.1,1.43,8.57,22.1,32.9,7.14,62.1
Tom King,GK,Wolves,29,1,1,1,0,0,0,1
Antonín Kinský,GK,Tottenham Hotspur,21,39.5,34.2,39,0.5,0,0,39.5
Jakub Kiwior,DF,Arsenal,24,67.7,8,22.5,39.5,5.76,0.4,67.7
Justin Kluivert,MF,Bournemouth,25,41.8,0.92,3.81,14.1,24.7,5.15,41.5
